identifier;description;construction_identifier;adjacent_A;adjacent_B;window_identifier;area;vertices;
B0013;EP Surface Names:BF0EAD,6641D5;NMC0001;Z0018;Z0002;NaN;14.33477918;(154.234396,19.06690778,9.81),(154.234396,19.06690778,6.41),(158.4505075,19.06690778,6.41),(158.4505075,19.06690778,9.81);
B0014;EP Surface Names:02a_Ceiling;C0009;ADB;Z0002;NaN;11.13053442;(154.234396,21.70690778,9.81),(154.234396,19.06690778,9.81),(158.4505075,19.06690778,9.81),(158.4505075,21.70690778,9.81);
B0015;EP Surface Names:11_Floor;C0003;ADB;Z0003;NaN;64.03490637;(161.0905916,11.16295874,6.41),(161.0905916,8.258150744,6.41),(173.1075075,8.258150744,6.41),(173.1075075,4.412481841,6.41),(158.4505075,4.412481841,6.41),(158.4505075,11.16295874,6.41);
B0016;EP Surface Names:97E9E6,C73985;C0004;Z0016;Z0003;NaN;11.33523922;(159.771932,4.412481841,9.81),(159.771932,4.412481841,6.41),(163.1058259,4.412481841,6.41),(163.1058259,4.412481841,9.81);
B0017;EP Surface Names:11_Ceiling;C0008;ADB;Z0003;NaN;64.03490637;(158.4505075,11.16295874,9.81),(158.4505075,4.412481841,9.81),(173.1075075,4.412481841,9.81),(173.1075075,8.258150744,9.81),(161.0905916,8.258150744,9.81),(161.0905916,11.16295874,9.81);
B0018;EP Surface Names:4833A0,B75D4D;NMC0001;Z0004;Z0003;NaN;8.97628576;(161.0905916,11.16295874,9.81),(161.0905916,11.16295874,6.41),(158.4505075,11.16295874,6.41),(158.4505075,11.16295874,9.81);
B0019;EP Surface Names:58D226,9A4C82;C0004;Z0020;Z0003;NaN;16.11762147;(158.4505075,9.152958743,9.81),(158.4505075,9.152958743,6.41),(158.4505075,4.412481841,6.41),(158.4505075,4.412481841,9.81);
B0020;EP Surface Names:D78703,E1F207;C0005;Z0005;Z0003;NaN;37.24884691;(172.0461348,8.258150744,9.81),(172.0461348,8.258150744,6.41),(161.0905916,8.258150744,6.41),(161.0905916,8.258150744,9.81);
B0021;EP Surface Names:885AF5,E9C3D7;C0004;Z0005;Z0003;NaN;9.876347196;(161.0905916,8.258150744,9.81),(161.0905916,8.258150744,6.41),(161.0905916,11.16295874,6.41),(161.0905916,11.16295874,9.81);
B0022;EP Surface Names:C1D5AC,A23AEA;NMC0001;Z0017;Z0003;NaN;13.07527427;(173.1075075,4.412481841,9.81),(173.1075075,4.412481841,6.41),(173.1075075,8.258150744,6.41),(173.1075075,8.258150744,9.81);
B0023;EP Surface Names:10_Floor;C0003;ADB;Z0004;NaN;82.73153096;(175.7615075,18.17690778,6.41),(161.0905916,18.17690778,6.41),(161.0905916,11.16295874,6.41),(158.4505075,11.16295874,6.41),(158.4505075,20.37690778,6.41),(182.4205075,20.37690778,6.41),(182.4205075,16.45290778,6.41),(175.7615075,16.45290778,6.41);
B0024;EP Surface Names:10_Ceiling;C0008;ADB;Z0004;NaN;82.73153096;(158.4505075,20.37690778,9.81),(158.4505075,11.16295874,9.81),(161.0905916,11.16295874,9.81),(161.0905916,18.17690778,9.81),(175.7615075,18.17690778,9.81),(175.7615075,16.45290778,9.81),(182.4205075,16.45290778,9.81),(182.4205075,20.37690778,9.81);
B0025;EP Surface Names:BB0A10,C62B8A;C0004;Z0010;Z0004;NaN;4.502366356;(159.7747329,20.37690778,9.81),(159.7747329,20.37690778,6.41),(158.4505075,20.37690778,6.41),(158.4505075,20.37690778,9.81);
B0026;EP Surface Names:C908AA,55F7B4;C0004;Z0013;Z0004;NaN;13.3416;(182.4205075,16.45290778,9.81),(182.4205075,16.45290778,6.41),(182.4205075,20.37690778,6.41),(182.4205075,20.37690778,9.81);
B0027;EP Surface Names:25A690,B92624;C0004;Z0005;Z0004;NaN;23.84742673;(161.0905916,11.16295874,9.81),(161.0905916,11.16295874,6.41),(161.0905916,18.17690778,6.41),(161.0905916,18.17690778,9.81);
